923 - excitedly - 84
924 - student - 84
925 - sprout - 84
926 - further - 84
927 - phineas - 84
928 - loads - 83
929 - sighed - 83
930 - warning - 83
931 - position - 83
932 - interested - 83
933 - sharp - 83
934 - greyback - 83
935 - moody’s - 83
936 - umbridge’s - 83
937 - soared - 82
938 - certain - 82
939 - deeply - 82
940 - alley - 82
941 - relief - 82
942 - headed - 82
943 - louder - 82
944 - strong - 82
945 - goblins - 82
946 - holidays - 81
947 - gryffindors - 81
948 - impression - 81
949 - worth - 81
950 - brilliant - 81
951 - level - 81
952 - prefect - 81
953 - favorite - 80
954 - bound - 80
955 - calmly - 80
956 - lunch - 80
957 - serious - 80
958 - chocolate - 80
959 - transfiguration - 80
960 - landing - 80
961 - compartment - 80
962 - lowered - 80
963 - aware - 80
964 - written - 80
965 - learned - 80
966 - anybody - 80
967 - avoid - 79
968 - wings - 79
969 - broomsticks - 79
970 - where’s - 79
971 - cornelius - 79
972 - divination - 79
973 - missing - 79
974 - higher - 79
975 - mother’s - 79
976 - protection - 79
977 - expelled - 78
978 - anywhere - 78
979 - smoke - 78
980 - happening - 78
981 - clothes - 78
982 - nearby - 78
983 - slammed - 77
984 - agreed - 77
985 - peering - 77
986 - anxiously - 77
987 - sorting - 77
988 - directly - 77
989 - desperately - 77
990 - ghost - 77
991 - scene - 77
992 - triwizard - 77
993 - pensieve - 77
994 - escaped - 76
995 - final - 76
996 - platform - 76
997 - mistake - 76
998 - panting - 76
999 - remain - 76
1000 - everywhere - 76
1001 - impossible - 76
1002 - dementor - 76
1003 - dragged - 76
1004 - bones - 76
1005 - likely - 76
1006 - cover - 75
1007 - effort - 75
1008 - money - 75
1009 - color - 75
1010 - cleared - 75
1011 - twins - 75
1012 - molly - 75
1013 - patch - 75
1014 - hundreds - 75
1015 - dragons - 75
1016 - yours - 74
1017 - welcome - 74
1018 - narrow - 74
1019 - flung - 74
1020 - blank - 74
1021 - members - 74
1022 - among - 74
1023 - excited - 74
1024 - feast - 74
1025 - silvery - 74
1026 - panted - 74
1027 - suggested - 74
1028 - believed - 74
1029 - pitch - 74
1030 - distance - 74
1031 - movement - 74
1032 - aberforth - 74
1033 - locked - 73
1034 - creature - 73
1035 - panic - 73
1036 - solid - 73
1037 - chosen - 73
1038 - breaking - 73
1039 - harder - 73
1040 - werewolf - 73
1041 - write - 72
1042 - lower - 72
1043 - interesting - 72
1044 - thousand - 72
1045 - cross - 72
1046 - dudley’s - 72
1047 - heading - 72
1048 - dozen - 72
1049 - opening - 72
1050 - raising - 72
1051 - attempted - 72
1052 - narcissa - 72
1053 - elder - 72
1054 - delighted - 71
1055 - contact - 71
1056 - finish - 71
1057 - struggling - 71
1058 - gaunt - 71
1059 - forbidden - 71
1060 - glance - 71
1061 - father’s - 71
1062 - explained - 71
1063 - touched - 71
1064 - chairs - 71
1065 - glancing - 71
1066 - curtains - 71
1067 - borgin - 71
1068 - paused - 70
1069 - hoped - 70
1070 - she’d - 70
1071 - galleons - 70
1072 - useful - 70
1073 - previous - 70
1074 - horror - 70
1075 - confused - 70
1076 - wished - 70
1077 - colin - 70
1078 - fresh - 70
1079 - meanwhile - 70
1080 - month - 69
1081 - therefore - 69
1082 - vernon’s - 69
1083 - space - 69
1084 - lights - 69
1085 - possibly - 69
1086 - anxious - 69
1087 - leaves - 69
1088 - interest - 69
1089 - dived - 69
1090 - demanded - 69
1091 - excuse - 68
1092 - extra - 68
1093 - london - 68
1094 - marched - 68
1095 - basin - 68
1096 - makes - 68
1097 - shadows - 68
1098 - settled - 68
1099 - shocked - 68
1100 - visible - 67
1101 - filthy - 67
1102 - pretending - 67
1103 - awake - 67
1104 - fourth - 67
1105 - choice - 67
1106 - forgot - 67
1107 - blimey - 67
1108 - passage - 67
1109 - guard - 67
1110 - yellow - 67
1111 - easily - 67
1112 - double - 67
1113 - swallowed - 67
1114 - twisted - 67
1115 - fireplace - 67
1116 - murmured - 67
1117 - echoing - 67
1118 - firenze - 67
1119 - frank - 67
1120 - received - 66
1121 - ignored - 66
1122 - expecting - 66
1123 - ripped - 66
1124 - rubbish - 66
1125 - enter - 66
1126 - clean - 66
1127 - houses - 66
1128 - armchair - 66
1129 - doorway - 66
1130 - checking - 66
1131 - pushing - 66
1132 - leaning - 66
1133 - complete - 66
1134 - shadow - 66
1135 - security - 66
1136 - lovegood - 66
1137 - burned - 65
1138 - spider - 65
1139 - failed - 65
1140 - nodding - 65
1141 - classes - 65
1142 - caused - 65
1143 - teaching - 65
1144 - grinned - 65
1145 - gazed - 65
1146 - crying - 65
1147 - notes - 65
1148 - appearance - 65
1149 - attempting - 65
1150 - mclaggen - 65
1151 - children - 64
1152 - kicked - 64
1153 - lives - 64
1154 - dressed - 64
1155 - weight - 64
1156 - figures - 64
1157 - burrow - 64
1158 - support - 64
1159 - potter’s - 64
1160 - ogden - 64
1161 - fellow - 63
1162 - spread - 63
1163 - eleven - 63
1164 - abruptly - 63
1165 - plate - 63
1166 - black’s - 63
1167 - examining - 63
1168 - wanting - 63
1169 - smashed - 63
1170 - good-bye - 63
1171 - desperate - 63
1172 - journey - 63
1173 - lupin’s - 63
1174 - kindly - 63
1175 - stands - 63
1176 - continue - 63
1177 - midnight - 62
1178 - bathilda - 62
1179 - essay - 62
1180 - weird - 62
1181 - crash - 62
1182 - wrote - 62
1183 - bought - 62
1184 - peered - 62
1185 - losing - 62
1186 - tired - 62
1187 - calling - 62
1188 - dress - 62
1189 - helping - 62
1190 - dying - 62
1191 - flash - 62
1192 - knife - 62
1193 - carry - 62
1194 - innocent - 62
1195 - finding - 61
1196 - company - 61
1197 - removed - 61
1198 - wonderful - 61
1199 - unpleasant - 61
1200 - stick - 61
1201 - socks - 61
1202 - glaring - 61
1203 - decide - 61
1204 - study - 61
1205 - sleeping - 61
1206 - sending - 61
1207 - curled - 61
1208 - places - 61
1209 - overhead - 61
1210 - difficulty - 61
1211 - instructions - 61
1212 - butterbeer - 61
1213 - stadium - 61
1214 - throw - 61
1215 - grimmauld - 61
1216 - requirement - 61
1217 - durmstrang - 61
1218 - champion - 61
1219 - handsome - 60
